Date,time_start,time_end,site,deploy_code,D,Tow,Net, Sample #,alt_label,Label,Tow Type,Start Depth,End Depth,Depth Filtered,Volume_filtered_m3,Vol_filtered_doubled,Best Taxonomic ID,n,n_m2,Wet_Mass_g,g_m2,Preservative,Jar Size,Photo? Y / N,Photo (file_name),Photo Path,Comments,Broad Classification,Family_ID,SwimBladder_gas_assumed,Broad_Classification_2,Genera (or subfamily),Species,Broad Classification (excluding Cyclothone from fish)
10/4/2021,19:15,1:28,PRZ-NE,_M10N,_014_,S14,2,36,DG5C_M10N_014_S14_2_36,DG5C_M10_S14_2_36,Night,1000.5,701.3,299.2,28969,57938,Mysids,13,0.134267665,1.65,0.017041665,ETOH,SCINT,Y,,,Photo on Dr. Jesse's camera,Crustacea,Mysidae,,Crustacea,,,Crustacea
10/4/2021,19:15,1:28,PRZ-NE,_M10N,_014_,S14,2,27,DG5C_M10N_014_S14_2_27,DG5C_M10_S14_2_27,Night,1000.5,701.3,299.2,28969,57938,Snipe eel,1,0.010328282,4.1,0.042345956,ETOH,2,Y,,,Photo on Dr. Jesse's camera,Fish,Nemicthyidae,N,Fish,,,Fish
10/4/2021,19:15,1:28,PRZ-NE,_M10N,_014_,S14,2,23,DG5C_M10N_014_S14_2_23,DG5C_M10_S14_2_23,Night,1000.5,701.3,299.2,28969,57938,Scopelengys tristis,6,0.061969692,149.95,1.548725879,ETOH,32,Y,,,Photo on Dr. Jesse's camera,Fish,Neoscopelidae,N,Fish,Scopelengys,tristis,Fish
10/4/2021,19:15,1:28,PRZ-NE,_M10N,_014_,S14,2,22,DG5C_M10N_014_S14_2_22,DG5C_M10_S14_2_22,Night,1000.5,701.3,299.2,28969,57938,Octopod,8,0.082626256,62.15,0.641902724,ETOH,8,Y,,,Photo on Dr. Jesse's camera,Cephalopoda,Octopod,,Cephalopod,,,Cephalopoda
10/4/2021,19:15,1:28,PRZ-NE,_M10N,_014_,S14,2,32,DG5C_M10N_014_S14_2_32,DG5C_M10_S14_2_32,Night,1000.5,701.3,299.2,28969,57938,Ostracod,1,0.010328282,0.4,0.004131313,ETOH,VIAL,Y,,,Photo on Dr. Jesse's camera,Crustacea,Ostracod,,Crustacea,,,Crustacea
10/4/2021,19:15,1:28,PRZ-NE,_M10N,_014_,S14,2,37,DG5C_M10N_014_S14_2_37,DG5C_M10_S14_2_37,Night,1000.5,701.3,299.2,28969,57938,Penaid,29,0.299520177,6.35,0.06558459,ETOH,2,Y,,,Photo on Dr. Jesse's camera,Crustacea,Penaidae,,Crustacea,,,Crustacea
10/4/2021,19:15,1:28,PRZ-NE,_M10N,_014_,S14,2,35,DG5C_M10N_014_S14_2_35,DG5C_M10_S14_2_35,Night,1000.5,701.3,299.2,28969,57938,Sergestidae,16,0.165252511,8.4,0.086757568,ETOH,2,Y,,,Photo on Dr. Jesse's camera,Crustacea,Sergestidae,,Crustacea,,,Crustacea
10/4/2021,19:15,1:28,PRZ-NE,_M10N,_014_,S14,2,28,DG5C_M10N_014_S14_2_28,DG5C_M10_S14_2_28,Night,1000.5,701.3,299.2,28969,57938,Sawtooth eel,1,0.010328282,4.5,0.046477269,ETOH,2,Y,,,Photo on Dr. Jesse's camera,Fish,Serrivomeridae,N,Fish,,,Fish
10/4/2021,19:15,1:28,PRZ-NE,_M10N,_014_,S14,2,41,DG5C_M10N_014_S14_2_41,DG5C_M10_S14_2_41,Night,1000.5,701.3,299.2,28969,57938,Stomiidae,6,0.061969692,0.4,0.004131313,ETOH,SCINT,Y,,,"Photo on Dr. Jesse's camera - 2 not in photo, juvenile",Fish,Stomiidae,N,Fish,,,Fish
10/4/2021,19:15,1:28,PRZ-NE,_M10N,_014_,S14,2,31,DG5C_M10N_014_S14_2_31,DG5C_M10_S14_2_31,Night,1000.5,701.3,299.2,28969,57938,Vampire squid,1,0.010328282,0.35,0.003614899,ETOH,VIAL,Y,,,Photo on Dr. Jesse's camera,Cephalopoda,Vampyroteuthidae,,Cephalopod,Vampyroteuthis,infernalis,Cephalopoda
10/4/2021,19:15,1:28,PRZ-NE,_M10N,_014_,S14,3,45,DG5C_M10N_014_S14_3_45,DG5C_M10_S14_3_45,Night,701.3,448.1,253.2,21734,43468,Cyclothone,25,0.291248735,3.75,0.04368731,ETOH,2,Y,,,Photo on Dr. Jesse's camera,Fish,Cyclothone,N,Fish,,,
10/4/2021,19:15,1:28,PRZ-NE,_M10N,_014_,S14,3,43,DG5C_M10N_014_S14_3_43,DG5C_M10_S14_3_43,Night,701.3,448.1,253.2,21734,43468,Melamphaidae,4,0.046599798,2.4,0.027959879,ETOH,2,Y,,,Photo on Dr. Jesse's camera,Fish,Melamphaidae,Y,SB Fish,,,Fish
10/4/2021,19:15,1:28,PRZ-NE,_M10N,_014_,S14,3,46,DG5C_M10N_014_S14_3_46,DG5C_M10_S14_3_46,Night,701.3,448.1,253.2,21734,43468,Miscellaneous,,0,,0,ETOH,4,Y,,,Photo on Dr. Jesse's camera,Other,Miscellaneous,,Other,,,Other
10/4/2021,19:15,1:28,PRZ-NE,_M10N,_014_,S14,3,42,DG5C_M10N_014_S14_3_42,DG5C_M10_S14_3_42,Night,701.3,448.1,253.2,21734,43468,Penaid,9,0.104849544,0.65,0.007572467,ETOH,SCINT,Y,,,Photo on Dr. Jesse's camera,Crustacea,Penaidae,,Crustacea,,,Crustacea
10/4/2021,19:15,1:28,PRZ-NE,_M10N,_014_,S14,3,44,DG5C_M10N_014_S14_3_44,DG5C_M10_S14_3_44,Night,701.3,448.1,253.2,21734,43468,Sergestidae,1,0.011649949,0.05,0.000582497,ETOH,VIAL,Y,,,Photo on Dr. Jesse's camera,Crustacea,Sergestidae,,Crustacea,,,Crustacea
10/4/2021,19:15,1:28,PRZ-NE,_M10N,_014_,S14,4,59,DG5C_M10N_014_S14_4_59,DG5C_M10_S14_4_59,Night,448.1,70.8,377.3,32327,64654,Amphipod,7,0.081699508,6.1,0.071195286,ETOH,2,Y,,,Photo on Dr. Jesse's camera - Phronima with house,Crustacea,Amphipoda,,Crustacea,,,Crustacea
10/4/2021,19:15,1:28,PRZ-NE,_M10N,_014_,S14,4,55,DG5C_M10N_014_S14_4_55,DG5C_M10_S14_4_55,Night,448.1,70.8,377.3,32327,64654,Bathylagidae,2,0.023342717,0.65,0.007586383,ETOH,SCINT,Y,,,Photo on Dr. Jesse's camera,Fish,Bathylagidae,N,Fish,,,Fish
10/4/2021,19:15,1:28,PRZ-NE,_M10N,_014_,S14,4,47,DG5C_M10N_014_S14_4_47,DG5C_M10_S14_4_47,Night,448.1,70.8,377.3,32327,64654,Bregmaceros,1,0.011671358,1,0.011671358,ETOH,SCINT,Y,,,Photo on Dr. Jesse's camera,Fish,Bregmacerotidae,Y,SB Fish,Bregmaceros,,Fish
10/4/2021,19:15,1:28,PRZ-NE,_M10N,_014_,S14,4,57,DG5C_M10N_014_S14_4_57,DG5C_M10_S14_4_57,Night,448.1,70.8,377.3,32327,64654,Cyclothone,4,0.046685433,0.95,0.01108779,ETOH,SCINT,Y,,,Photo on Dr. Jesse's camera,Fish,Cyclothone,N,Fish,,,Fish
10/4/2021,19:15,1:28,PRZ-NE,_M10N,_014_,S14,4,51,DG5C_M10N_014_S14_4_51,DG5C_M10_S14_4_51,Night,448.1,70.8,377.3,32327,64654,Melamphaidae,24,0.280112599,11.9,0.138889164,ETOH,2,Y,,,Photo on Dr. Jesse's camera,Fish,Melamphaidae,Y,SB Fish,,,Fish
10/4/2021,19:15,1:28,PRZ-NE,_M10N,_014_,S14,4,60,DG5C_M10N_014_S14_4_60,DG5C_M10_S14_4_60,Night,448.1,70.8,377.3,32327,64654,Miscellaneous,,0,,0,ETOH,32,Y,,,,Other,Miscellaneous,,Other,,,Other
10/4/2021,19:15,1:28,PRZ-NE,_M10N,_014_,S14,4,50,DG5C_M10N_014_S14_4_50,DG5C_M10_S14_4_50,Night,448.1,70.8,377.3,32327,64654,Myctophidae,3,0.035014075,2.2,0.025676988,ETOH,SCINT,Y,,,Photo on Dr. Jesse's camera,Fish,Myctophidae,Y,SB Fish,,,Fish
10/4/2021,19:15,1:28,PRZ-NE,_M10N,_014_,S14,4,56,DG5C_M10N_014_S14_4_56,DG5C_M10_S14_4_56,Night,448.1,70.8,377.3,32327,64654,Nemicthyidae,1,0.011671358,7.5,0.087535187,ETOH,4,Y,,,Photo on Dr. Jesse's camera,Fish,Nemicthyidae,N,Fish,,,Fish
10/4/2021,19:15,1:28,PRZ-NE,_M10N,_014_,S14,4,49,DG5C_M10N_014_S14_4_49,DG5C_M10_S14_4_49,Night,448.1,70.8,377.3,32327,64654,Penaid,7,0.081699508,1.46,0.017040183,ETOH,SCINT,Y,,,Photo on Dr. Jesse's camera,Crustacea,Penaidae,,Crustacea,,,Crustacea
10/4/2021,19:15,1:28,PRZ-NE,_M10N,_014_,S14,4,52,DG5C_M10N_014_S14_4_52,DG5C_M10_S14_4_52,Night,448.1,70.8,377.3,32327,64654,Vinciguerria,8,0.093370866,9.85,0.114962879,ETOH,4,Y,,,Photo on Dr. Jesse's camera,Fish,Phosichthyidae,Y,SB Fish,Vinciguerria,,Fish
10/4/2021,19:15,1:28,PRZ-NE,_M10N,_014_,S14,4,58,DG5C_M10N_014_S14_4_58,DG5C_M10_S14_4_58,Night,448.1,70.8,377.3,32327,64654,Sergestidae,7,0.081699508,2.45,0.028594828,ETOH,2,Y,,,Photo on Dr. Jesse's camera,Crustacea,Sergestidae,,Crustacea,,,Crustacea
10/4/2021,19:15,1:28,PRZ-NE,_M10N,_014_,S14,4,48,DG5C_M10N_014_S14_4_48,DG5C_M10_S14_4_48,Night,448.1,70.8,377.3,32327,64654,Squid,2,0.023342717,1.5,0.017507037,ETOH,SCINT,Y,,,Photo on Dr. Jesse's camera,Cephalopoda,Squid,,Cephalopod,,,Cephalopoda
10/4/2021,19:15,1:28,PRZ-NE,_M10N,_014_,S14,4,53,DG5C_M10N_014_S14_4_53,DG5C_M10_S14_4_53,Night,448.1,70.8,377.3,32327,64654,Idiacanthus,3,0.035014075,1.65,0.019257741,ETOH,SCINT,Y,,,Photo on Dr. Jesse's camera,Fish,Stomiidae,N,Fish,Idiacanthus,,Fish
10/4/2021,19:15,1:28,PRZ-NE,_M10N,_014_,S14,4,54,DG5C_M10N_014_S14_4_54,DG5C_M10_S14_4_54,Night,448.1,70.8,377.3,32327,64654,Melanostomiinae,1,0.011671358,1.1,0.012838494,ETOH,SCINT,Y,,,Photo on Dr. Jesse's camera,Fish,Stomiidae,N,Fish,Melanostomiinae,,Fish
10/4/2021,19:15,1:28,PRZ-NE,_M10N,_014_,S14,5,67,DG5C_M10N_014_S14_5_67,DG5C_M10_S14_5_67,Night,70.8,2,68.8,19511,39022,Phronima,3,0.010578648,0.9,0.003173594,ETOH,SCINT,Y,,,,Crustacea,Amphipoda,,Crustacea,Phronima,,Crustacea
10/4/2021,19:15,1:28,PRZ-NE,_M10N,_014_,S14,5,65,DG5C_M10N_014_S14_5_65,DG5C_M10_S14_5_65,Night,70.8,2,68.8,19511,39022,Argonauta,1,0.003526216,4.3,0.015162729,ETOH,2,Y,,,weight with shell,Cephalopoda,Argonauta,,Cephalopod,,,Cephalopoda
10/4/2021,19:15,1:28,PRZ-NE,_M10N,_014_,S14,5,62,DG5C_M10N_014_S14_5_62,DG5C_M10_S14_5_62,Night,70.8,2,68.8,19511,39022,Bregmaceros,24,0.084629184,11.95,0.042138281,ETOH,4,Y,,,,Fish,Bregmacerotidae,Y,SB Fish,Bregmaceros,,Fish
10/4/2021,19:15,1:28,PRZ-NE,_M10N,_014_,S14,5,63,DG5C_M10N_014_S14_5_63,DG5C_M10_S14_5_63,Night,70.8,2,68.8,19511,39022,Cyclothone,8,0.028209728,0.9,0.003173594,ETOH,SCINT,Y,,,,Fish,Cyclothone,N,Fish,,,
10/4/2021,19:15,1:28,PRZ-NE,_M10N,_014_,S14,5,69,DG5C_M10N_014_S14_5_69,DG5C_M10_S14_5_69,Night,70.8,2,68.8,19511,39022,Juvenile fish,3,0.010578648,0.4,0.001410486,ETOH,SCINT,Y,,,"1 trachipteridae, 1 scopelarchidae",Fish,Juvenile fish,N,Fish,,,Fish
10/4/2021,19:15,1:28,PRZ-NE,_M10N,_014_,S14,5,70,DG5C_M10N_014_S14_5_70,DG5C_M10_S14_5_70,Night,70.8,2,68.8,19511,39022,Miscellaneous,,0,,0,10% formalin,GALLON,Y,,,,Other,Miscellaneous,,Other,,,Other
10/4/2021,19:15,1:28,PRZ-NE,_M10N,_014_,S14,5,68,DG5C_M10N_014_S14_5_68,DG5C_M10_S14_5_68,Night,70.8,2,68.8,19511,39022,Myctophidae,62,0.218625391,14.15,0.049895956,ETOH,4,Y,,,,Fish,Myctophidae,Y,SB Fish,,,Fish
10/4/2021,19:15,1:28,PRZ-NE,_M10N,_014_,S14,5,61,DG5C_M10N_014_S14_5_61,DG5C_M10_S14_5_61,Night,70.8,2,68.8,19511,39022,Vinciguerria,24,0.084629184,11.2,0.039493619,ETOH,4,Y,,,,Fish,Phosichthyidae,Y,SB Fish,Vinciguerria,,Fish
10/4/2021,19:15,1:28,PRZ-NE,_M10N,_014_,S14,5,66,DG5C_M10N_014_S14_5_66,DG5C_M10_S14_5_66,Night,70.8,2,68.8,19511,39022,Sergestidae,3,0.010578648,0.5,0.001763108,ETOH,SCINT,Y,,,,Crustacea,Sergestidae,,Crustacea,,,Crustacea
10/4/2021,19:15,1:28,PRZ-NE,_M10N,_014_,S14,5,64,DG5C_M10N_014_S14_5_64,DG5C_M10_S14_5_64,Night,70.8,2,68.8,19511,39022,Idiacanthus,29,0.102260263,5.8,0.020452053,ETOH,2,Y,,,Juveniles,Fish,Stomiidae,N,Fish,Idiacanthus,,Fish
10/5/2021,19:40,0:59,PRZ-NE,_M10N,_015_,S15,2,99,DG5C_M10N_015_S15_2_99,DG5C_M10_S15_2_99,Night,1001.8,699,302.8,23144,46288,Bathylagidae,9,0.117749741,1.1,0.014391635,10% formalin,SCINT,Y,,,,Fish,Bathylagidae,N,Fish,,,Fish
10/5/2021,19:40,0:59,PRZ-NE,_M10N,_015_,S15,2,97,DG5C_M10N_015_S15_2_97,DG5C_M10_S15_2_97,Night,1001.8,699,302.8,23144,46288,Bentheuphausia,1,0.013083305,0.05,0.000654165,10% formalin,VIAL,Y,,,,Crustacea,Euphausiacea,,Crustacea,Bentheuphausia,amblyops,Crustacea
10/5/2021,19:40,0:59,PRZ-NE,_M10N,_015_,S15,2,102,DG5C_M10N_015_S15_2_102,DG5C_M10_S15_2_102,Night,1001.8,699,302.8,23144,46288,Caridean,17,0.222416177,21.75,0.284561873,10% formalin,8,Y,,,,Crustacea,Caridea,,Crustacea,,,Crustacea
10/5/2021,19:40,0:59,PRZ-NE,_M10N,_015_,S15,2,89,DG5C_M10N_015_S15_2_89,DG5C_M10_S15_2_89,Night,1001.8,699,302.8,23144,46288,Swallower,1,0.013083305,5.05,0.066070688,10% formalin,8,Y,,,Same jar as #88: Scopelengys tristis,Fish,Chiasmodontidae,N,Fish,,,Fish
10/5/2021,19:40,0:59,PRZ-NE,_M10N,_015_,S15,2,100,DG5C_M10N_015_S15_2_100,DG5C_M10_S15_2_100,Night,1001.8,699,302.8,23144,46288,Cyclothone,1021,13.35805392,177.95,2.328174041,10% formalin,32,Y,,,,Fish,Cyclothone,N,Fish,,,
10/5/2021,19:40,0:59,PRZ-NE,_M10N,_015_,S15,2,104,DG5C_M10N_015_S15_2_104,DG5C_M10_S15_2_104,Night,1001.8,699,302.8,23144,46288,Juvenile fish,3,0.039249914,0.15,0.001962496,ETOH,VIAL,Y,,,,Fish,Juvenile fish,N,Fish,,,Fish
10/5/2021,19:40,0:59,PRZ-NE,_M10N,_015_,S15,2,87,DG5C_M10N_015_S15_2_87,DG5C_M10_S15_2_87,Night,1001.8,699,302.8,23144,46288,Gigantactics,1,0.013083305,5.6,0.073266505,ETOH,8,Y,,,,Fish,Lophiiformes,N,Fish,Gigantactis,,Fish
10/5/2021,19:40,0:59,PRZ-NE,_M10N,_015_,S15,2,94,DG5C_M10N_015_S15_2_94,DG5C_M10_S15_2_94,Night,1001.8,699,302.8,23144,46288,Nezumia parini,1,0.013083305,2,0.026166609,10% formalin,2,Y,,,,Fish,Macrouridae,Y,SB Fish,Nezumia,parini,Fish
10/5/2021,19:40,0:59,PRZ-NE,_M10N,_015_,S15,2,103,DG5C_M10N_015_S15_2_103,DG5C_M10_S15_2_103,Night,1001.8,699,302.8,23144,46288,Melamphaidae,86,1.125164189,42.1,0.550807121,ETOH,8,Y,,,,Fish,Melamphaidae,Y,SB Fish,,,Fish
10/5/2021,19:40,0:59,PRZ-NE,_M10N,_015_,S15,2,105,DG5C_M10N_015_S15_2_105,DG5C_M10_S15_2_105,Night,1001.8,699,302.8,23144,46288,Miscellaneous,,0,,0,ETOH,16,Y,,,,Other,Miscellaneous,,Other,,,Other
10/5/2021,19:40,0:59,PRZ-NE,_M10N,_015_,S15,2,91,DG5C_M10N_015_S15_2_91,DG5C_M10_S15_2_91,Night,1001.8,699,302.8,23144,46288,Mysids,31,0.40558244,3.75,0.049062392,10% formalin,SCINT,Y,,,,Crustacea,Mysidae,,Crustacea,,,Crustacea
10/5/2021,19:40,0:59,PRZ-NE,_M10N,_015_,S15,2,88,DG5C_M10N_015_S15_2_88,DG5C_M10_S15_2_88,Night,1001.8,699,302.8,23144,46288,Scopelengys tristis,1,0.013083305,20.65,0.270170239,10% formalin,8,Y,,,Same jar as #89: Swallower,Fish,Neoscopelidae,N,Fish,Scopelengys,tristis,Fish
10/5/2021,19:40,0:59,PRZ-NE,_M10N,_015_,S15,2,93,DG5C_M10N_015_S15_2_93,DG5C_M10_S15_2_93,Night,1001.8,699,302.8,23144,46288,Octopod,6,0.078499827,44.75,0.585477878,10% formalin,8,Y,,,,Cephalopoda,Octopod,,Cephalopod,,,Cephalopoda
10/5/2021,19:40,0:59,PRZ-NE,_M10N,_015_,S15,2,101,DG5C_M10N_015_S15_2_101,DG5C_M10_S15_2_101,Night,1001.8,699,302.8,23144,46288,Octopod,1,0.013083305,135.85,1.77736692,10% formalin,16,Y,,,,Cephalopoda,Octopod,,Cephalopod,,,Cephalopoda
10/5/2021,19:40,0:59,PRZ-NE,_M10N,_015_,S15,2,98,DG5C_M10N_015_S15_2_98,DG5C_M10_S15_2_98,Night,1001.8,699,302.8,23144,46288,Ostracod,1,0.013083305,5.1,0.066724853,10% formalin,2,Y,,,,Crustacea,Ostracod,,Crustacea,,,Crustacea
10/5/2021,19:40,0:59,PRZ-NE,_M10N,_015_,S15,2,90,DG5C_M10N_015_S15_2_90,DG5C_M10_S15_2_90,Night,1001.8,699,302.8,23144,46288,Penaid,13,0.170082959,2.85,0.037287418,10% formalin,SCINT,Y,,,,Crustacea,Penaidae,,Crustacea,,,Crustacea
10/5/2021,19:40,0:59,PRZ-NE,_M10N,_015_,S15,2,95,DG5C_M10N_015_S15_2_95,DG5C_M10_S15_2_95,Night,1001.8,699,302.8,23144,46288,Sergestidae,5,0.065416523,3.05,0.039904079,10% formalin,2,Y,,,,Crustacea,Sergestidae,,Crustacea,,,Crustacea
10/5/2021,19:40,0:59,PRZ-NE,_M10N,_015_,S15,2,92,DG5C_M10N_015_S15_2_92,DG5C_M10_S15_2_92,Night,1001.8,699,302.8,23144,46288,Sawtooth eel,3,0.039249914,16.5,0.215874525,10% formalin,2,Y,,,,Fish,Serrivomeridae,N,Fish,,,Fish
10/5/2021,19:40,0:59,PRZ-NE,_M10N,_015_,S15,2,96,DG5C_M10N_015_S15_2_96,DG5C_M10_S15_2_96,Night,1001.8,699,302.8,23144,46288,Squid,2,0.026166609,2.3,0.0300916,ETOH,SCINT,Y,,,,Cephalopoda,Squid,,Cephalopod,,,Cephalopoda
10/5/2021,19:40,0:59,PRZ-NE,_M10N,_015_,S15,3,110,DG5C_M10N_015_S15_3_110,DG5C_M10_S15_3_110,Night,699,449.5,249.5,22488,44976,Bathylagidae,1,0.011094806,0.25,0.002773702,10% formalin,VIAL,Y,,,,Fish,Bathylagidae,N,Fish,,,Fish
10/5/2021,19:40,0:59,PRZ-NE,_M10N,_015_,S15,3,112,DG5C_M10N_015_S15_3_112,DG5C_M10_S15_3_112,Night,699,449.5,249.5,22488,44976,Cyclothone,19,0.210801316,1.25,0.013868508,10% formalin,SCINT,Y,,,,Fish,Cyclothone,N,Fish,,,
10/5/2021,19:40,0:59,PRZ-NE,_M10N,_015_,S15,3,113,DG5C_M10N_015_S15_3_113,DG5C_M10_S15_3_113,Night,699,449.5,249.5,22488,44976,Miscellaneous,,0,,0,ETOH,8,Y,,,,Other,Miscellaneous,,Other,,,Other
10/5/2021,19:40,0:59,PRZ-NE,_M10N,_015_,S15,3,109,DG5C_M10N_015_S15_3_109,DG5C_M10_S15_3_109,Night,699,449.5,249.5,22488,44976,Myctophidae,1,0.011094806,0.3,0.003328442,10% formalin,VIAL,Y,,,,Fish,Myctophidae,Y,SB Fish,,,Fish
10/5/2021,19:40,0:59,PRZ-NE,_M10N,_015_,S15,3,111,DG5C_M10N_015_S15_3_111,DG5C_M10_S15_3_111,Night,699,449.5,249.5,22488,44976,Penaid,6,0.066568837,0.45,0.004992663,10% formalin,SCINT,Y,,,,Crustacea,Penaidae,,Crustacea,,,Crustacea
10/5/2021,19:40,0:59,PRZ-NE,_M10N,_015_,S15,3,108,DG5C_M10N_015_S15_3_108,DG5C_M10_S15_3_108,Night,699,449.5,249.5,22488,44976,Sergestidae,1,0.011094806,1.55,0.017196949,10% formalin,SCINT,Y,,,,Crustacea,Sergestidae,,Crustacea,,,Crustacea
10/5/2021,19:40,0:59,PRZ-NE,_M10N,_015_,S15,4,116,DG5C_M10N_015_S15_4_116,DG5C_M10_S15_4_116,Night,449.5,68.4,381.1,26724.5,53449,Bathylagidae,2,0.028520646,0.25,0.003565081,10% formalin,VIAL,Y,,,,Fish,Bathylagidae,N,Fish,,,Fish
10/5/2021,19:40,0:59,PRZ-NE,_M10N,_015_,S15,4,107,DG5C_M10N_015_S15_4_107,DG5C_M10_S15_4_107,Night,449.5,68.4,381.1,26724.5,53449,Cyclothone,3,0.042780969,0.75,0.010695242,,-,Y,,,3 for ecotox,Fish,Cyclothone,N,Fish,,,
10/5/2021,19:40,0:59,PRZ-NE,_M10N,_015_,S15,4,119,DG5C_M10N_015_S15_4_119,DG5C_M10_S15_4_119,Night,449.5,68.4,381.1,26724.5,53449,Juvenile fish,4,0.057041292,0.25,0.003565081,10% formalin,VIAL,Y,,,,Fish,Juvenile fish,N,Fish,,,Fish
10/5/2021,19:40,0:59,PRZ-NE,_M10N,_015_,S15,4,115,DG5C_M10N_015_S15_4_115,DG5C_M10_S15_4_115,Night,449.5,68.4,381.1,26724.5,53449,Melamphaidae,17,0.24242549,14.3,0.203922618,ETOH,2,Y,,,,Fish,Melamphaidae,Y,SB Fish,,,Fish
10/5/2021,19:40,0:59,PRZ-NE,_M10N,_015_,S15,4,120,DG5C_M10N_015_S15_4_120,DG5C_M10_S15_4_120,Night,449.5,68.4,381.1,26724.5,53449,Miscellaneous,,0,,0,10% formalin,8,Y,,,,Other,Miscellaneous,,Other,,,Other
10/5/2021,19:40,0:59,PRZ-NE,_M10N,_015_,S15,4,117,DG5C_M10N_015_S15_4_117,DG5C_M10_S15_4_117,Night,449.5,68.4,381.1,26724.5,53449,Nemicthyidae,1,0.014260323,9.9,0.141177197,10% formalin,2,Y,,,,Fish,Nemicthyidae,N,Fish,,,Fish
10/5/2021,19:40,0:59,PRZ-NE,_M10N,_015_,S15,4,118,DG5C_M10N_015_S15_4_118,DG5C_M10_S15_4_118,Night,449.5,68.4,381.1,26724.5,53449,Penaid,3,0.042780969,0.5,0.007130161,10% formalin,SCINT,Y,,,,Crustacea,Penaidae,,Crustacea,,,Crustacea
