Date,time_start,time_end,site,Tow,Net, Sample,Day_Night,Start_Depth,End_Depth,Depth_Filtered,Volume_Filtered_m3,Volume_Filtered.10000,n,"n.10,000_m2","n.10,000_m3",Wet_Mass_g,g.10000_m2,Wet_Mass_g.10000_m3,Comments,Micronekton,Broad_Classification,Broad_Classification_noCyclothone,Family_ID,SwimBladder_gas_assumed,Broad_Classification_2,Genus_ID_orSubfamily,Species_ID
3/17/2021,8:41,16:08,PRZ-NE,S1,1,4,Day,1500,1001,499,18015,1.8015,1,276.9913961,0.555092978,28.05,7769.61,15.57, with A. cornuta (DG5B_M10_S1_1_1) in jar,Micronekton,Fish,Fish,Serrivomeridae,N,Fish,,
3/17/2021,8:41,16:08,PRZ-NE,S1,1,18,Day,1500,1001,499,18015,1.8015,1,276.9913961,0.555092978,0.2,55.4,0.11,,Micronekton,Fish,Fish,Sternoptychidae,Y,SB Fish,,
3/17/2021,8:41,16:08,PRZ-NE,S1,1,13,Day,1500,1001,499,18015,1.8015,7,1938.939772,3.885650847,0.45,124.65,0.25,,Plankton,Other,Other,Chaetognaths,,Other,,
3/17/2021,8:41,16:08,PRZ-NE,S1,1,19,Day,1500,1001,499,18015,1.8015,6,1661.948376,3.330557868,1.7,470.89,0.94,,Plankton,Other,Other,Ctenophores,,Other,,
3/17/2021,8:41,16:08,PRZ-NE,S1,1,20,Day,1500,1001,499,18015,1.8015,9,2492.922565,4.995836803,90.15,24970.77,50.04, count is approximate,Plankton,Other,,Miscellaneous,,Other,,
3/17/2021,8:41,16:08,PRZ-NE,S1,1,15,Day,1500,1001,499,18015,1.8015,6,1661.948376,3.330557868,1.65,457.04,0.92,,Plankton,Other,Other,Nemertea,,Other,,
3/17/2021,8:41,16:08,PRZ-NE,S1,2,27,Day,1001,851,150,45302.7,4.53027,10,331.106093,2.207373953,1.85,61.25,0.41,,Micronekton,Crustacea,Crustacea,Amphipoda,,Crustacea,,
3/17/2021,8:41,16:08,PRZ-NE,S1,2,21,Day,1001,851,150,45302.7,4.53027,23,761.5440139,5.076960093,23.3,771.48,5.14,,Micronekton,Crustacea,Crustacea,Caridea,,Crustacea,,
3/17/2021,8:41,16:08,PRZ-NE,S1,2,28,Day,1001,851,150,45302.7,4.53027,24,794.6546232,5.297697488,0.75,24.83,0.17,,Plankton,Crustacea,Crustacea,Copepoda,,Crustacea,,
3/17/2021,8:41,16:08,PRZ-NE,S1,2,33,Day,1001,851,150,45302.7,4.53027,8,264.8848744,1.765899163,0.7,23.18,0.15,,Micronekton,Crustacea,Crustacea,Euphausiacea,,Crustacea,,
3/17/2021,8:41,16:08,PRZ-NE,S1,2,31,Day,1001,851,150,45302.7,4.53027,38,1258.203153,8.388021023,8.25,273.16,1.82,,Micronekton,Crustacea,Crustacea,Mysidae,,Crustacea,,
3/17/2021,8:41,16:08,PRZ-NE,S1,2,25,Day,1001,851,150,45302.7,4.53027,1,33.1106093,0.220737395,0.25,8.28,0.06,,Plankton,Crustacea,Crustacea,Ostracod,,Crustacea,,
3/17/2021,8:41,16:08,PRZ-NE,S1,2,32,Day,1001,851,150,45302.7,4.53027,3,99.3318279,0.662212186,0.55,18.21,0.12,,Micronekton,Crustacea,Crustacea,Penaeidae,,Crustacea,,
3/17/2021,8:41,16:08,PRZ-NE,S1,2,34,Day,1001,851,150,45302.7,4.53027,9,297.9954837,1.986636558,6.45,213.56,1.42,,Micronekton,Crustacea,Crustacea,Sergestidae,,Crustacea,,
3/17/2021,8:41,16:08,PRZ-NE,S1,2,24,Day,1001,851,150,45302.7,4.53027,263,8708.090246,58.05393498,56.95,1885.65,12.57,,Micronekton,Fish,,Gonostomatidae,N,Fish,Cyclothone,
3/17/2021,8:41,16:08,PRZ-NE,S1,2,37,Day,1001,851,150,45302.7,4.53027,6,198.6636558,1.324424372,0.4,13.24,0.09,,Micronekton,Fish,Fish,Juvenile fish,N,Fish,,
3/17/2021,8:41,16:08,PRZ-NE,S1,2,26,Day,1001,851,150,45302.7,4.53027,6,198.6636558,1.324424372,2.45,81.12,0.54,,Micronekton,Fish,Fish,Melamphaeidae,Y,SB Fish,,
3/17/2021,8:41,16:08,PRZ-NE,S1,2,35,Day,1001,851,150,45302.7,4.53027,2,66.2212186,0.441474791,0.3,9.93,0.07,,Micronekton,Fish,Fish,Myctophidae,Y,SB Fish,,
3/17/2021,8:41,16:08,PRZ-NE,S1,2,22,Day,1001,851,150,45302.7,4.53027,2,66.2212186,0.441474791,7.25,240.05,1.6,,Micronekton,Fish,Fish,Serrivomeridae,N,Fish,,
3/17/2021,8:41,16:08,PRZ-NE,S1,2,38,Day,1001,851,150,45302.7,4.53027,1,33.1106093,0.220737395,0.05,1.66,0.01,,Micronekton,Fish,Fish,Sternoptychidae,Y,SB Fish,,
3/17/2021,8:41,16:08,PRZ-NE,S1,2,36,Day,1001,851,150,45302.7,4.53027,1,33.1106093,0.220737395,0.15,4.97,0.03,,Micronekton,Fish,Fish,Stomiidae,N,Fish,,
3/17/2021,8:41,16:08,PRZ-NE,S1,2,30,Day,1001,851,150,45302.7,4.53027,14,463.5485302,3.090323535,0.75,24.83,0.17,,Plankton,Other,Other,Chaetognaths,,Other,,
3/17/2021,8:41,16:08,PRZ-NE,S1,2,23,Day,1001,851,150,45302.7,4.53027,7,231.7742651,1.545161767,108.25,3584.22,23.89, count is approximate,Plankton,Other,Other,Miscellaneous,,Other,,
3/17/2021,8:41,16:08,PRZ-NE,S1,2,29,Day,1001,851,150,45302.7,4.53027,1,33.1106093,0.220737395,0.1,3.31,0.02,,Plankton,Other,Other,Nemertea,,Other,,
3/17/2021,8:41,16:08,PRZ-NE,S1,3,47,Day,851,349.8,501.2,84644.2,8.46442,3,177.6376881,0.354424757,2.7,159.87,0.32,,Micronekton,Cephalopoda,Cephalopoda,Enoploteuthidae,,Cephalopoda,Abraliopsis,
3/17/2021,8:41,16:08,PRZ-NE,S1,3,45,Day,851,349.8,501.2,84644.2,8.46442,3,177.6376881,0.354424757,35.85,2122.77,4.24,,Micronekton,Cephalopoda,Cephalopoda,Octopoda,,Cephalopoda,,
3/17/2021,8:41,16:08,PRZ-NE,S1,3,48,Day,851,349.8,501.2,84644.2,8.46442,2,118.4251254,0.236283171,0.55,32.57,0.06," 1 Cranchiidae, 1 juvenile ",Micronekton,Cephalopoda,Cephalopoda,Squid,,Cephalopoda,,
3/17/2021,8:41,16:08,PRZ-NE,S1,3,50,Day,851,349.8,501.2,84644.2,8.46442,2,118.4251254,0.236283171,0.85,50.33,0.1, many additional individuals put in the misc. jellies jar (DG5B_M10_S1_3_60),Micronekton,Crustacea,Crustacea,Amphipoda,,Crustacea,Phronima,
3/17/2021,8:41,16:08,PRZ-NE,S1,3,56,Day,851,349.8,501.2,84644.2,8.46442,4,236.8502508,0.472566342,0.4,23.69,0.05,,Micronekton,Crustacea,Crustacea,Amphipoda,,Crustacea,,
3/17/2021,8:41,16:08,PRZ-NE,S1,3,55,Day,851,349.8,501.2,84644.2,8.46442,9,532.9130643,1.06327427,18.05,1068.79,2.13,,Micronekton,Crustacea,Crustacea,Caridea,,Crustacea,,
3/17/2021,8:41,16:08,PRZ-NE,S1,3,58,Day,851,349.8,501.2,84644.2,8.46442,6,355.2753762,0.708849514,0.6,35.53,0.07,,Micronekton,Crustacea,Crustacea,Mysidae,,Crustacea,,
3/17/2021,8:41,16:08,PRZ-NE,S1,3,57,Day,851,349.8,501.2,84644.2,8.46442,38,2250.077383,4.489380253,6.9,408.57,0.82,,Micronekton,Crustacea,Crustacea,Penaeidae,,Crustacea,,
3/17/2021,8:41,16:08,PRZ-NE,S1,3,51,Day,851,349.8,501.2,84644.2,8.46442,60,3552.753762,7.088495136,40.5,2398.11,4.78,,Micronekton,Crustacea,Crustacea,Sergestidae,,Crustacea,,
3/17/2021,8:41,16:08,PRZ-NE,S1,3,59,Day,851,349.8,501.2,84644.2,8.46442,371,21967.86076,43.83052826,36.6,2167.18,4.32,,Micronekton,Fish,,Gonostomatidae,N,Fish,Cyclothone,
3/17/2021,8:41,16:08,PRZ-NE,S1,3,54,Day,851,349.8,501.2,84644.2,8.46442,10,592.125627,1.181415856,0.65,38.49,0.08,,Micronekton,Fish,Fish,Juvenile fish,N,Fish,,
3/17/2021,8:41,16:08,PRZ-NE,S1,3,53,Day,851,349.8,501.2,84644.2,8.46442,63,3730.39145,7.442919893,32.85,1945.13,3.88,,Micronekton,Fish,Fish,Melamphaeidae,Y,SB Fish,,
3/17/2021,8:41,16:08,PRZ-NE,S1,3,49,Day,851,349.8,501.2,84644.2,8.46442,55,3256.690949,6.497787208,18.6,1101.35,2.2, two not on photo,Micronekton,Fish,Fish,Myctophidae,Y,SB Fish,,
3/17/2021,8:41,16:08,PRZ-NE,S1,3,41,Day,851,349.8,501.2,84644.2,8.46442,5,296.0628135,0.590707928,42.85,2537.26,5.06,,Micronekton,Fish,Fish,Nemicthyidae,N,Fish,,
3/17/2021,8:41,16:08,PRZ-NE,S1,3,39,Day,851,349.8,501.2,84644.2,8.46442,7,414.4879389,0.826991099,105.55,6249.89,12.47,,Micronekton,Fish,Fish,Neoscopelidae,N,Fish,Scopelengys,tristis
3/17/2021,8:41,16:08,PRZ-NE,S1,3,52,Day,851,349.8,501.2,84644.2,8.46442,9,532.9130643,1.06327427,0.9,53.29,0.11,,Micronekton,Fish,Fish,Phosichthyidae,Y,SB Fish,Vinciguerria,
3/17/2021,8:41,16:08,PRZ-NE,S1,3,46,Day,851,349.8,501.2,84644.2,8.46442,2,118.4251254,0.236283171,1.1,65.13,0.13,,Micronekton,Fish,Fish,Scopelarchidae,N,Fish,,
3/17/2021,8:41,16:08,PRZ-NE,S1,3,40,Day,851,349.8,501.2,84644.2,8.46442,2,118.4251254,0.236283171,64,3789.6,7.56,,Micronekton,Fish,Fish,Serrivomeridae,N,Fish,,
3/17/2021,8:41,16:08,PRZ-NE,S1,3,43,Day,851,349.8,501.2,84644.2,8.46442,8,473.7005016,0.945132685,5,296.06,0.59,,Micronekton,Fish,Fish,Sternoptychidae,Y,SB Fish,,
3/17/2021,8:41,16:08,PRZ-NE,S1,3,42,Day,851,349.8,501.2,84644.2,8.46442,7,414.4879389,0.826991099,3.65,216.13,0.43,,Micronekton,Fish,Fish,Stomiidae,N,Fish,,
3/17/2021,8:41,16:08,PRZ-NE,S1,3,44,Day,851,349.8,501.2,84644.2,8.46442,1,59.2125627,0.118141586,0.35,20.72,0.04,,Micronekton,Fish,Fish,Stomiidae,N,Fish,Chauliodus,
3/17/2021,8:41,16:08,PRZ-NE,S1,3,60,Day,851,349.8,501.2,84644.2,8.46442,,0,0,168.95,10003.96,19.96,,Plankton,Other,Other,Miscellaneous,,Other,,
3/17/2021,8:41,16:08,PRZ-NE,S1,4,63,Day,349.8,65.6,284.2,43756.7,4.37567,1,64.95005336,0.22853643,0.2,12.99,0.05,,Micronekton,Cephalopoda,Cephalopoda,Pyrotheuthidae,,Cephalopoda,,
3/17/2021,8:41,16:08,PRZ-NE,S1,4,69,Day,349.8,65.6,284.2,43756.7,4.37567,1,64.95005336,0.22853643,0.05,3.25,0.01,,Micronekton,Crustacea,Crustacea,Euphausiacea,,Crustacea,,
3/17/2021,8:41,16:08,PRZ-NE,S1,4,70,Day,349.8,65.6,284.2,43756.7,4.37567,2,129.9001067,0.45707286,0.55,35.72,0.13,,Micronekton,Crustacea,Crustacea,Mysidae,,Crustacea,,
3/17/2021,8:41,16:08,PRZ-NE,S1,4,62,Day,349.8,65.6,284.2,43756.7,4.37567,2,129.9001067,0.45707286,1.85,120.16,0.42,,Plankton,Crustacea,Crustacea,Ostracod,,Crustacea,,
3/17/2021,8:41,16:08,PRZ-NE,S1,4,71,Day,349.8,65.6,284.2,43756.7,4.37567,2,129.9001067,0.45707286,0.5,32.48,0.11,,Micronekton,Crustacea,Crustacea,Sergestidae,,Crustacea,,
3/17/2021,8:41,16:08,PRZ-NE,S1,4,68,Day,349.8,65.6,284.2,43756.7,4.37567,8,519.6004269,1.828291439,0.85,55.21,0.19,,Micronekton,Fish,,Gonostomatidae,N,Fish,Cyclothone,
3/17/2021,8:41,16:08,PRZ-NE,S1,4,66,Day,349.8,65.6,284.2,43756.7,4.37567,7,454.6503735,1.599755009,0.45,29.23,0.1,,Micronekton,Fish,Fish,Juvenile fish,N,Fish,,
3/17/2021,8:41,16:08,PRZ-NE,S1,4,65,Day,349.8,65.6,284.2,43756.7,4.37567,1,64.95005336,0.22853643,0.75,48.71,0.17,,Micronekton,Fish,Fish,Myctophidae,Y,SB Fish,,
3/17/2021,8:41,16:08,PRZ-NE,S1,4,67,Day,349.8,65.6,284.2,43756.7,4.37567,4,259.8002135,0.914145719,0.2,12.99,0.05,,Micronekton,Fish,Fish,Phosichthyidae,Y,SB Fish,Vinciguerria,
3/17/2021,8:41,16:08,PRZ-NE,S1,4,61,Day,349.8,65.6,284.2,43756.7,4.37567,9,584.5504803,2.056827869,2.25,146.14,0.51,,Micronekton,Fish,Fish,Sternoptychidae,Y,SB Fish,,
3/17/2021,8:41,16:08,PRZ-NE,S1,4,64,Day,349.8,65.6,284.2,43756.7,4.37567,,0,0,Not weighted,#VALUE!,Not weighted, and crustaceans (not put on label),Plankton,Other,Other,Miscellaneous,,Other,,
3/17/2021,8:41,16:08,PRZ-NE,S1,5,74,Day,65.6,2.2,63.4,22922.3,2.29223,18,497.8557998,7.852615139,2.25,62.23,0.98,,Micronekton,Cephalopoda,Cephalopoda,Squid,,Cephalopoda,,
3/17/2021,8:41,16:08,PRZ-NE,S1,5,73,Day,65.6,2.2,63.4,22922.3,2.29223,10,276.5865555,4.362563966,0.5,13.83,0.22,,Micronekton,Crustacea,Crustacea,Amphipoda,,Crustacea,Hyperiidea,
3/17/2021,8:41,16:08,PRZ-NE,S1,5,72,Day,65.6,2.2,63.4,22922.3,2.29223,1,27.65865555,0.436256397,0.3,8.3,0.13,,Micronekton,Crustacea,Crustacea,Caridea,,Crustacea,,
3/17/2021,8:41,16:08,PRZ-NE,S1,5,77,Day,65.6,2.2,63.4,22922.3,2.29223,11,304.245211,4.798820363,0.6,16.6,0.26,,Micronekton,Fish,Fish,Juvenile fish,N,Fish,,
3/17/2021,8:41,16:08,PRZ-NE,S1,5,75,Day,65.6,2.2,63.4,22922.3,2.29223,,0,0,Not weighted,#VALUE!,Not weighted,,Plankton,Other,Other,Miscellaneous,,Other,,
4/7/2021,8:05,13:44,CTA,S10,0,691,Day,0,1498.4,1498.4,46367.9,4.63679,,0,0,Not weighted,#VALUE!,Not weighted,,Plankton,Other,Other,All,,Other,,
4/7/2021,8:05,13:44,CTA,S10,1,627,Day,1498.4,1000.1,498.3,60908.4,6.09084,1,81.81137577,0.164180967,1.05,85.9,0.17,,Micronekton,Cephalopoda,Cephalopoda,Squid,,Cephalopoda,,
4/7/2021,8:05,13:44,CTA,S10,1,641,Day,1498.4,1000.1,498.3,60908.4,6.09084,14,1145.359261,2.298533536,2.4,196.35,0.39,,Micronekton,Crustacea,Crustacea,Amphipoda,,Crustacea,,
4/7/2021,8:05,13:44,CTA,S10,1,634,Day,1498.4,1000.1,498.3,60908.4,6.09084,15,1227.170637,2.462714502,63.8,5219.57,10.47,,Micronekton,Crustacea,Crustacea,Caridea,,Crustacea,,
4/7/2021,8:05,13:44,CTA,S10,1,639,Day,1498.4,1000.1,498.3,60908.4,6.09084,43,3517.889158,7.059781574,1.2,98.17,0.2,to Erica,Plankton,Crustacea,Crustacea,Copepoda,,Crustacea,,
4/7/2021,8:05,13:44,CTA,S10,1,637,Day,1498.4,1000.1,498.3,60908.4,6.09084,14,1145.359261,2.298533536,1.3,106.35,0.21,,Micronekton,Crustacea,Crustacea,Euphausiacea,,Crustacea,,
4/7/2021,8:05,13:44,CTA,S10,1,640,Day,1498.4,1000.1,498.3,60908.4,6.09084,16,1308.982012,2.626895469,6.15,503.14,1.01,,Micronekton,Crustacea,Crustacea,Mysidae,,Crustacea,,
4/7/2021,8:05,13:44,CTA,S10,1,638,Day,1498.4,1000.1,498.3,60908.4,6.09084,6,490.8682546,0.985085801,5.5,449.96,0.9,1 Gigantocyprus (5.35 g),Plankton,Crustacea,Crustacea,Ostracod,,Crustacea,,
4/7/2021,8:05,13:44,CTA,S10,1,632,Day,1498.4,1000.1,498.3,60908.4,6.09084,1,81.81137577,0.164180967,0.85,69.54,0.14,Mystery shrimp,Micronekton,Crustacea,Crustacea,Unknown shrimp_1,,Crustacea,,
4/7/2021,8:05,13:44,CTA,S10,1,630,Day,1498.4,1000.1,498.3,60908.4,6.09084,1,81.81137577,0.164180967,5,409.06,0.82,,Micronekton,Fish,Fish,Chiasmodontidae,N,Fish,,
4/7/2021,8:05,13:44,CTA,S10,1,635,Day,1498.4,1000.1,498.3,60908.4,6.09084,31,2536.152649,5.089609972,7.3,597.22,1.2,,Micronekton,Fish,,Gonostomatidae,N,Fish,Cyclothone,
4/7/2021,8:05,13:44,CTA,S10,1,636,Day,1498.4,1000.1,498.3,60908.4,6.09084,1,81.81137577,0.164180967,0.05,4.09,0.01,,Micronekton,Fish,Fish,Juvenile fish,N,Fish,,
4/7/2021,8:05,13:44,CTA,S10,1,631,Day,1498.4,1000.1,498.3,60908.4,6.09084,2,163.6227515,0.328361934,5.5,449.96,0.9,4.95 g for big one and 0.55 for small one,Micronekton,Fish,Fish,Lophiiformes,N,Fish,,
4/7/2021,8:05,13:44,CTA,S10,1,628,Day,1498.4,1000.1,498.3,60908.4,6.09084,3,245.4341273,0.4925429,1.9,155.44,0.31,,Micronekton,Fish,Fish,Melamphaeidae,Y,SB Fish,,
4/7/2021,8:05,13:44,CTA,S10,1,629,Day,1498.4,1000.1,498.3,60908.4,6.09084,1,81.81137577,0.164180967,3.9,319.06,0.64,,Micronekton,Fish,Fish,Myctophidae,Y,SB Fish,,
4/7/2021,8:05,13:44,CTA,S10,1,626,Day,1498.4,1000.1,498.3,60908.4,6.09084,1,81.81137577,0.164180967,6.15,503.14,1.01,,Micronekton,Fish,Fish,Serrivomeridae,N,Fish,,
4/7/2021,8:05,13:44,CTA,S10,1,633,Day,1498.4,1000.1,498.3,60908.4,6.09084,,0,0,Not weighted,#VALUE!,Not weighted,,Plankton,Other,Other,Miscellaneous,,Other,,
4/7/2021,8:05,13:44,CTA,S10,2,645,Day,1000.1,701,299.1,41468.6,4.14686,4,288.507449,0.964585252,63.95,4612.51,15.42,,Micronekton,Cephalopoda,Cephalopoda,Octopoda,,Cephalopoda,,
4/7/2021,8:05,13:44,CTA,S10,2,647,Day,1000.1,701,299.1,41468.6,4.14686,4,288.507449,0.964585252,2.55,183.92,0.61,1 not in photo,Micronekton,Cephalopoda,Cephalopoda,Squid,,Cephalopoda,,
4/7/2021,8:05,13:44,CTA,S10,2,648,Day,1000.1,701,299.1,41468.6,4.14686,23,1658.917832,5.546365202,32.85,2369.37,7.92,,Micronekton,Crustacea,Crustacea,Caridea,,Crustacea,,
4/7/2021,8:05,13:44,CTA,S10,2,652,Day,1000.1,701,299.1,41468.6,4.14686,6,432.7611735,1.446877879,0.4,28.85,0.1,,Micronekton,Crustacea,Crustacea,Euphausiacea,,Crustacea,,
4/7/2021,8:05,13:44,CTA,S10,2,651,Day,1000.1,701,299.1,41468.6,4.14686,24,1731.044694,5.787511515,4,288.51,0.96,,Micronekton,Crustacea,Crustacea,Mysidae,,Crustacea,,
4/7/2021,8:05,13:44,CTA,S10,2,650,Day,1000.1,701,299.1,41468.6,4.14686,28,2019.552143,6.752096767,6.85,494.07,1.65,,Micronekton,Crustacea,Crustacea,Penaeidae,,Crustacea,,
4/7/2021,8:05,13:44,CTA,S10,2,649,Day,1000.1,701,299.1,41468.6,4.14686,28,2019.552143,6.752096767,31.2,2250.36,7.52,,Micronekton,Crustacea,Crustacea,Sergestidae,,Crustacea,,
4/7/2021,8:05,13:44,CTA,S10,2,646,Day,1000.1,701,299.1,41468.6,4.14686,7,504.8880358,1.688024192,4,288.51,0.96,,Micronekton,Fish,Fish,Bathylagidae,N,Fish,,
4/7/2021,8:05,13:44,CTA,S10,2,653,Day,1000.1,701,299.1,41468.6,4.14686,669,48252.87085,161.3268835,73,5265.26,17.6,,Micronekton,Fish,,Gonostomatidae,N,Fish,Cyclothone,
4/7/2021,8:05,13:44,CTA,S10,2,655,Day,1000.1,701,299.1,41468.6,4.14686,55,3966.977424,13.26304722,3.15,227.2,0.76,,Micronekton,Fish,Fish,Juvenile fish,N,Fish,,
4/7/2021,8:05,13:44,CTA,S10,2,643,Day,1000.1,701,299.1,41468.6,4.14686,4,288.507449,0.964585252,26.55,1914.97,6.4,1 not in photo,Micronekton,Fish,Fish,Melamphaeidae,Y,SB Fish,,
4/7/2021,8:05,13:44,CTA,S10,2,642,Day,1000.1,701,299.1,41468.6,4.14686,5,360.6343113,1.205731566,78.4,5654.75,18.91,,Micronekton,Fish,Fish,Nemicthyidae,N,Fish,,
4/7/2021,8:05,13:44,CTA,S10,2,644,Day,1000.1,701,299.1,41468.6,4.14686,6,432.7611735,1.446877879,178.25,12856.61,42.98,,Micronekton,Fish,Fish,Neoscopelidae,N,Fish,,
4/7/2021,8:05,13:44,CTA,S10,2,658,Day,1000.1,701,299.1,41468.6,4.14686,5,360.6343113,1.205731566,0.25,18.03,0.06,,Micronekton,Fish,Fish,Sternoptychidae,Y,SB Fish,,
4/7/2021,8:05,13:44,CTA,S10,2,656,Day,1000.1,701,299.1,41468.6,4.14686,1,72.12686225,0.241146313,0.45,32.46,0.11,,Micronekton,Fish,Fish,Stomiidae,N,Fish,,
4/7/2021,8:05,13:44,CTA,S10,2,654,Day,1000.1,701,299.1,41468.6,4.14686,,0,0,Not weighted,#VALUE!,Not weighted,,Plankton,Other,Other,Miscellaneous,,Other,,
4/7/2021,8:05,13:44,CTA,S10,3,664,Day,701,446,255,36958.1,3.69581,5,344.9852671,1.3528834,49.55,3418.8,13.41,,Micronekton,Cephalopoda,Cephalopoda,Octopoda,,Cephalopoda,,
4/7/2021,8:05,13:44,CTA,S10,3,657,Day,701,446,255,36958.1,3.69581,1,68.99705342,0.27057668,,0,0,,Micronekton,Cephalopoda,Cephalopoda,Squid,,Cephalopoda,,
4/7/2021,8:05,13:44,CTA,S10,3,663,Day,701,446,255,36958.1,3.69581,28,1931.917496,7.576147042,1.9,131.09,0.51,,Micronekton,Crustacea,Crustacea,Penaeidae,,Crustacea,,
4/7/2021,8:05,13:44,CTA,S10,3,662,Day,701,446,255,36958.1,3.69581,20,1379.941068,5.411533602,2.95,203.54,0.8,,Micronekton,Crustacea,Crustacea,Sergestidae,,Crustacea,,
4/7/2021,8:05,13:44,CTA,S10,3,665,Day,701,446,255,36958.1,3.69581,2,137.9941068,0.54115336,2.75,189.74,0.74,1 head added; not in photo,Micronekton,Fish,Fish,Bathylagidae,N,Fish,,
4/7/2021,8:05,13:44,CTA,S10,3,668,Day,701,446,255,36958.1,3.69581,5,344.9852671,1.3528834,1.35,93.15,0.37,,Micronekton,Fish,Fish,Bregmacerotidae,Y,SB Fish,Bregmaceros,
4/7/2021,8:05,13:44,CTA,S10,3,666,Day,701,446,255,36958.1,3.69581,13,896.9616945,3.517496841,1.1,75.9,0.3,,Micronekton,Fish,,Gonostomatidae,N,Fish,Cyclothone,
4/7/2021,8:05,13:44,CTA,S10,3,669,Day,701,446,255,36958.1,3.69581,26,1793.923389,7.034993682,0.75,51.75,0.2,,Micronekton,Fish,Fish,Juvenile fish,N,Fish,,
4/7/2021,8:05,13:44,CTA,S10,3,659,Day,701,446,255,36958.1,3.69581,27,1862.920442,7.305570362,30,2069.91,8.12,,Micronekton,Fish,Fish,Melamphaeidae,Y,SB Fish,,
